featCount,iso_major,distgrp,cntmedValu,avgmedValu,count
6,Isolated Black,0 to 3,6,904.833333333333371,"24"
1,Isolated Black,15 or more,1,1196.000000000000000,"45"
2,Isolated Black,3 to 5,2,2798.000000000000000,"25"
13,Isolated White,0 to 3,13,1331.846153846153811,"24"
44,Isolated White,10 to 15,44,5281.659090909090992,"45"
42,Isolated White,15 or more,42,4658.285714285714675,"45"
23,Isolated White,3 to 5,23,2716.086956521739467,"25"
76,Isolated White,5 to 10,76,4116.657894736842536,"77"
2,Mixed Black,0 to 3,2,1959.500000000000000,"24"
1,Mixed Black,10 to 15,1,1950.000000000000000,"45"
3,Mixed White,0 to 3,3,1405.000000000000000,"24"
2,Mixed White,15 or more,2,728.000000000000000,"45"
1,Mixed White,5 to 10,1,2601.000000000000000,"77"
