featCount,iso_major,distgrp,cntmedValu,avgmedValu,count
5,Isolated Black,0 to 3,4,152475.000000000000000,"13"
23,Isolated Black,10 to 15,23,64321.739130434783874,"69"
15,Isolated Black,15 or more,15,102640.000000000000000,"169"
7,Isolated Black,3 to 5,7,55328.571428571427532,"21"
26,Isolated Black,5 to 10,23,67704.347826086959685,"68"
2,Isolated White,0 to 3,2,179600.000000000000000,"13"
34,Isolated White,10 to 15,34,257885.294117647048552,"69"
102,Isolated White,15 or more,102,308621.568627450964414,"169"
19,Isolated White,5 to 10,19,213957.894736842106795,"68"
3,Mixed Black,0 to 3,2,186700.000000000000000,"13"
6,Mixed Black,10 to 15,6,122316.666666666671517,"69"
17,Mixed Black,15 or more,17,116005.882352941174759,"169"
6,Mixed Black,3 to 5,6,184550.000000000000000,"21"
6,Mixed Black,5 to 10,6,108466.666666666671517,"68"
3,Mixed White,0 to 3,3,208166.666666666656965,"13"
6,Mixed White,10 to 15,6,213600.000000000000000,"69"
35,Mixed White,15 or more,35,154714.285714285710128,"169"
8,Mixed White,3 to 5,8,245825.000000000000000,"21"
17,Mixed White,5 to 10,17,210923.529411764669931,"68"
